Codigo PAIS|Nombre PAIS|Codigo DEPARTAMENTO|Nombre DEPARTAMENTO|Codigo PROVINCIA|Nombre PROVINCIA|Codigo MUNICIPIO|Nombre MUNICIPIO|Codigo RECINTO|Nombre RECINTO|Codigo MESA|Nombre MESA|NO|SÍ|BLANCOS|EMITIDOS|INSCRITOS|NULOS|VALIDOS
BO|BOLIVIA|07|SANTA CRUZ|0710|OBISPO SANTISTEBAN|071001|MONTERO|2680926809|COL. ANGEL LIMPIAS|76550|76550|76|115|1|195|230|3|191
BO|BOLIVIA|09|PANDO|0901|NICOLÁS SUÁREZ|090103|BOLPEBRA (MUKDEN)|1789517895|U.E. TRES ESTRELLAS|90179|90179|28|36|0|65|80|1|64
BO|BOLIVIA|07|SANTA CRUZ|0711|ÑUFLO DE CHÁVEZ|071104|SAN JULIÁN|2642426424|ESC. NUCLEO 66 2 DE AGOSTO|77043|77043|7|9|0|16|18|0|16
BO|BOLIVIA|06|TARIJA|0602|ARCE|060202|BERMEJO|2770127701|U.E. MSCAL. ANDRES DE SANTA CRUZ|60820|60820|106|62|0|172|227|4|168
BO|BOLIVIA|02|LA PAZ|0201|MURILLO|020101|NUESTRA SEÑORA DE LA PAZ|1532715327|COL. MARIEN GARTEN|22616|22616|85|109|1|200|228|5|194
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070101|SANTA CRUZ DE LA SIERRA|2499124991|COL. ESC. CORONEL IGNACIO WARNES|74208|74208|133|28|1|165|214|3|161
BO|BOLIVIA|02|LA PAZ|0213|AROMA|021304|CALAMARCA|0824408244|U.E. JUAN JOSÉ TORREZ|27565|27565|52|146|8|216|236|10|198
BO|BOLIVIA|07|SANTA CRUZ|0701|ANDRÉS IBÁÑEZ|070102|COTOCA|2025320253|ESCUELA.COL. SAN MARCOS|74345|74345|107|86|0|198|233|5|193
BO|BOLIVIA|03|COCHABAMBA|0301|CERCADO|030101|COCHABAMBA|0419504195|COLEGIO MARYKNOLL|30618|30618|163|20|0|188|222|5|183
BO|BOLIVIA|03|COCHABAMBA|0310|CHAPARE|031001|SACABA|0587705877|ESCUELA JESUS TERCEROS|33903|33903|146|57|1|211|236|7|203
